# word	part of speech	player-facing definition	source
anadem	noun	A wreath or garland worn on the head.	https://www.merriam-webster.com/dictionary/anadem
brumous	adjective	Foggy or misty.	https://www.merriam-webster.com/dictionary/brumous
chthonic	adjective	Relating to the underworld or the earth beneath us.	https://en.wiktionary.org/wiki/chthonic
bibulous	adjective	Highly absorbent, or fond of alcoholic drink.	https://www.merriam-webster.com/dictionary/bibulous
jejune	adjective	Dull, overly simple, or immature.	https://www.merriam-webster.com/dictionary/jejune
kakapo	noun	A large, flightless, nocturnal parrot from New Zealand.	https://www.merriam-webster.com/dictionary/kakapo
lacunae	noun	Gaps or missing portions; the plural of lacuna.	https://www.merriam-webster.com/dictionary/lacuna
inanition	noun	An exhausted condition caused by lack of food and water.	https://www.merriam-webster.com/dictionary/inanition
numinous	adjective	Having a mysterious spiritual quality that inspires awe.	https://www.merriam-webster.com/dictionary/numinous
oneiric	adjective	Relating to dreams or dreamlike.	https://www.merriam-webster.com/dictionary/oneiric
philippic	noun	A speech or piece of writing full of bitter condemnation.	https://www.merriam-webster.com/dictionary/philippic
quincunx	noun	Five objects arranged with four at the corners and one in the centre.	https://www.merriam-webster.com/dictionary/quincunx
susurrus	noun	A whispering or rustling sound.	https://www.merriam-webster.com/dictionary/susurrus
syzygy	noun	A nearly straight-line alignment of three celestial bodies.	https://www.merriam-webster.com/dictionary/syzygy
tmesis	noun	The insertion of a word between parts of a compound word or phrase.	https://www.merriam-webster.com/dictionary/tmesis
welkin	noun	The sky or the heavens.	https://www.merriam-webster.com/dictionary/welkin
xenial	adjective	Hospitable, especially concerning host-and-guest relations.	https://www.merriam-webster.com/dictionary/xenial
zymurgy	noun	The applied chemistry of fermentation, as in brewing.	https://www.merriam-webster.com/dictionary/zymurgy
